"street1","street2","decision"
"BROKOLEDGE","BROOKLEDGE","1"
"GANNET","GANNETT","1"
"BODOIN","BOWDOIN","1"
"ORTON MOROTTA","ORTON MAROTTA","1"
"A SUMNER","SUMNER","1"
"SAINT ALBANA","SAINT ALBANS","1"
"DORCEHSTER","DORCHESTER","1"
"HARRE","HAVRE","0"
"HAMLITON","HAMILTON","1"
"WORDWSWORTH","WORDSWORTH","1"
"NORHTHAMPTON","NORTHAMPTON","1"
"A SAINT ALPHONSUS","SAINT ALPHONSUS","1"
"JOYCE TURNPIKE 6079 SOUTH","CHARLES STREET SOUTH","0"
"ADAMES","ADAMS","1"
"WASHINGTYON","WASHINGTON","1"
"METCLAF","METCALF","1"
"FANUIEL","DANIEL","0"
"CORNELIA","CORNELL","0"
"D AMES","DAWES","0"
"A AMES","ADAMS","0"
"MCGREEVEY TURNPIKE","MCGREEVEY","1"
"TALBOLT","TALBOT","1"
"D STRATTON","STRATTON","1"
"LYNDURST","LYNDHURST","1"
"BENTLY","BENTLEY","1"
"LONDALE","LONSDALE","1"
"NORTHHAMPTON","NORTHAMPTON","1"
"HAMOND","HAMMOND","1"
"PINCKENEY","PINCKNEY","1"
"WESATLAND","WESTLAND","1"
"WOODSWORTH","WORDSWORTH","1"
"THE FENWAY B","HEMENWAY","0"
"EVERET","EVERETT","1"
"ALANTIC","ATLANTIC","1"
"CHANNEL CENTRE","CHANNEL CENTER","1"
"SOUYH HUNTINGTON","SOUTH HUNTINGTON","1"
"FENEUIL","FANEUIL","1"
"SAINT ALPONSUS","SAINT ALPHONSUS","1"
"COSTELLO","MONTELLO","0"
"GALVIN","CALVIN","0"
"TURQOUISE","GROUSE","0"
"ZIGLER","ZEIGLER","1"
"A STADIUM","STADIUM","1"
"STRATON","STRATTON","1"
"ROSSETTA","ROSSETER","0"
"EAST EIGHT","EAST EIGHTH","1"
"MARAGRETTA","MARGARET","0"
"HEREFORE","HEREFORD","1"
"B CHELSEA","CHELSEA","1"
"FR. JACOBEE","JACOB","0"
"A MSGR. REYNOLDS","MSGR REYNOLDS","1"
"BURKBANK","BURBANK","1"
"CHANNELL CENTER","CHANNEL CENTER","1"
"BEACHLAND","BEECHLAND","1"
"B MORTON","MORTON","1"
"KENNSINGTON","KENSINGTON","1"
"SAINT RICHARDS","SAINT CHARLES","0"
"1/2 EUSTIS","EUSTIS","1"
"BOURNSIDE","BOURNESIDE","1"
"MORTON STREET/ NINTH WEST SELDON","CHARLES STREET SOUTH","0"
"ROUNDHILL","ROUND HILL","1"
"GREENBRIAR","GREENBRIER","1"
"ABBOTS FORD","ABBOTSFORD","1"
"GOERGETOWNE","GEORGETOWNE","1"
"CARROLLTON","CARROLTON","1"
"CYPRIANS","CYPRESS","0"
"MSGR. P. J. LYDON","MSGR PATRICK J LYDON","1"
"A POND","POND","1"
"CARMONDY","HARMONY","0"
"CARLISE","CARLISLE","1"
"&#039;WORCESTER","WORCESTER","1"
"GOVENORS","GROVENOR","1"
"MOUNT PLEASEANT","MOUNT PLEASANT","1"
"WALCOTT","WOLCOTT","1"
"SAINT BOLTOPH","SAINT BOTOLPH","1"
"EAST LONOX","EAST LENOX","1"
"MONSIGNOR LYNDON","MONTMORENCI","0"
"EAST FARVE","EAST EAGLE","0"
"ESTIS","EUSTIS","1"
"COMMONWELTH","COMMONWEALTH","1"
"CALYBOURNE","CLAYBOURNE","1"
"1/2 VICTORY","VICTORY","1"
"GRINES","GRIMES","1"
"AQUADILLA","AGUADILLA","1"
"CIRCUT","CIRCUIT","1"
"WARDRUM","WARREN","0"
"WESTMISNTER","WESTMINSTER","1"
"GEOGRETOWNE","GEORGETOWNE","1"
"C ANNUNCIATION","ANNUNCIATION","1"
"BEECHALND","BEECHLAND","1"
"CROWLEY","ROWLEY","0"
"BLACKVILLE","SACKVILLE","0"
"JOHN ELLIOT","JOHN ELIOT","1"
"WAMBUCK","WAUMBECK","1"
"MASSACHSUETTS","MASSACHUSETTS","1"
"F ANNUNCIATION","ANNUNCIATION","1"
"MAGNNOLIA","MAGNOLIA","1"
"SOUTH ANUNCIATION","SOUTH HUNTINGTON","0"
"KITTRIDGE","KITTREDGE","1"
"MONSIGNOR PATRICK J LYNDON","MSGR PATRICK J LYDON","1"
"ESTERBROOK","ESTABROOK","1"
"A STRATTON","STRATTON","1"
"H AMES","JAMES","0"
"ROCKALND","ROCKLAND","1"
"FENO","GENE","0"
"HUNBOLDT","HUMBOLDT","1"
"WELLS","WELLES","1"
"DONNELL","ODONNELL","1"
"MSGN LYNDON","GLENDON","0"
"TAKOMA","TACOMA","1"
"BRICKFORD","BICKFORD","1"
"C AMES","JAMES","0"
"WAMBECK","WAUMBECK","1"
"IROQUUOIS","IROQUOIS","1"
"SAINT CASIMIR","SAINT MARTIN","0"
"PASEO SAN JUAN","SAN JUAN","1"
"MSGR LYNDON","GLENDON","0"
"GARDENER","GARDNER","1"
"PICKNEY","PINCKNEY","1"
"MSGR. PJ LYNDON","GLENDON","0"
"MSGR PATRICK LYNDON","MSGR PATRICK J LYDON","1"
"GOWRGETOWNE","GEORGETOWNE","1"
"GARNDER","GARDNER","1"
"WNTER","WATER","0"
"WOODALE","GOODALE","0"
"SECOND FLOOR","CONDOR","0"
